JUDUL,PENELITI,STATUS,DESKRIPSI PROGRAM,TAHUN
Pengembangan Sistem Pengenalan Wajah untuk Manajemen Bangunan Cerdas di Lingkungan Perkantoran,Fadhil Hidayat,Didanai,Program Inovasi Unggul Berdampak - Skema A  Dengan Kontribusi Dana Mitra Tahun 2025,2025
PENGEMBANGAN PLATFORM BANGUNAN GEDUNG CERDAS BERBASIS AI UNTUK  MENINGKATKAN KUALITAS HIDUP PENGHUNI,Fadhil Hidayat,Didanai,PPMI STEI Riset KK 2025,PROPOSAL
The 11th INTERNATIONAL CONFERENCE ON ICT FOR SMART SOCIETY 2024 (ICISS-2024),Fadhil Hidayat,Didanai,Bantuan Penyelenggaraan Konferensi Internasional Tahun 2024,2024
International Conference on ICT for Smart Society 2022 (ICISS-2022),Fadhil Hidayat,Didanai,Bantuan Penyelenggaraan Konferensi Internasional Tahun 2022,2022
Pengembangan Sistem Keamanan Berbasis Blockchain pada Smart Building,Fadhil Hidayat,Didanai, Program Riset ITB 2021,2021
"Implementasi Pasar Cerdas Untuk Meningkatkan Kemudahan, Keamanan, dan Kenyamanan di Situasi Pandemi",Fadhil Hidayat,Didanai,Program Pengabdian Masyarakat Pemulihan Ekonomi 2021,PROPOSAL
International Conference on ICT for Smart Society 2025,Fetty Fitriyanti Lubis,Berjalan,Bantuan Penyelenggaraan Konferensi Internasional Tahun 2025,2025
Pengembangan Platform Bangunan Gedung  Cerdas Berbasis AI untuk Meningkatkan Kualitas Hidup Pneghuni,Fadhil Hidayat,Pelaporan,PPMI STEI 2025,2025
ICESCO Accelelator,Fadhil Hidayat,Berjalan,,2025
PENYUSUNAN KAJIAN LITERASI DIGITAL SEGMEN PELAKU USAHA 2025-2029,Fadhil Hidayat,Selesai,Kerjasama Pengabdian Masyarakat (Konsultasi) Tahun 2024,2024
Penyusunan Konsep Penilaian Kinerja Bangunan Gedung Cerdas Tahap Pemanfaatan dan Pemeriksaan Kinerja Bangunan Gedung Cerdas Tahap Pembongkaran,Fadhil Hidayat,Selesai,Kerjasama Pengabdian Masyarakat (Konsultasi) Tahun 2024,2024
The 11th INTERNATIONAL CONFERENCE ON ICT FOR SMART SOCIETY 2024 (ICISS-2024),Fadhil Hidayat,Pelaporan,Bantuan Penyelenggaraan Konferensi Internasional Tahun 2024,2024
DAPT-Equity2024-WCU@Pengembangan Produk Predictive Maintenance pada Turnout System di Stasiun Kereta Api untuk pencegahan kerusakan berbasis IoT,Fadhil Hidayat,Selesai,DAPT-Equity-WCU Tahun 2024,2024
"Artificial Intelligence for education: innovation, ethics, and risks",Fadhil Hidayat,Berjalan,,2024
Sistem Pengukuran Indeks Kebahagiaan Berdasarkan Video Analytics dan Machine Learning Pada Edge Computing (Inovasi),Fadhil Hidayat,Pelaporan,PPMI STEI 2024,2024
International Workshop for Smart Cities and Circular Green Economy,Fadhil Hidayat,Selesai,,2023
Kegiatan Kesiapan Digital untuk Wilayah Base Transceiver Station (BTS) dan Akses Internet (AI) BAKTI KOMINFO,Fadhil Hidayat,Selesai,Kerjasama Pengabdian Masyarakat (Konsultasi) Tahun 2023,2023
"Regional Training in Smart, Sustainable and Resillient Cities",Fadhil Hidayat,Selesai,Kerjasama Pendidikan Luar Negeri,2022
Bantuan Konferensi Ilmiah Internasional Batch I Tahun 2022,Fadhil Hidayat,Selesai,,2022
Alat Survei Kondisi Perkerasan Jalan Berbasis Video Analytics dan Kamera GPS,Fadhil Hidayat,Selesai,Kerma 2022,2022
Pengembangan Sistem Big Data Wajah pada Automatic Face Recognition untuk Automatic Border Control,Fadhil Hidayat,Berjalan,RIIM 2022,2022
International Conference on ICT for Smart Society 2022 (ICISS-2022),Fadhil Hidayat,Selesai,Bantuan Penyelenggaraan Konferensi Internasional Tahun 2022,2022
A Flexible and Privacy Friendly of Integrated Road Management Platform with Blockchain Technology and Big Data Analytics,Fadhil Hidayat,Pelaporan,PPMI STEI 2022,2022
Penyelenggaraan Program Doktor Kemitraan (PDK),Fadhil Hidayat,Berjalan,Kerjasama Pendidikan Dalam Negeri,2021
Kajian Penyusunan Masterplan Dan Roadmap Smart Campus Di Politeknik Pekerjaan Umum,Fadhil Hidayat,Selesai,Kerjasama Penelitian,2021
"Penyusunan Platform Monitoring, Integrasi dan Implementasi Big Data Analytic Di Dinas Bina Marga Dan Penataan Ruang Provinsi Jawa Barat",Fadhil Hidayat,Selesai,Kerjasama Penelitian,2021
INTERNATIONAL CONFERENCE ON ICT FOR SMART SOCIETY 2021,Fadhil Hidayat,Selesai,Bantuan Penyelenggaraan Konferensi Internasional Tahun 2021,2021
"PM Pemulihan Ekonomi 2021 - Implementasi Pasar Cerdas Untuk Meningkatkan Kemudahan, Keamanan, Dan Kenyamanan Di Situasi Pandemi",Fadhil Hidayat,Selesai,Pengabdian Masyarakat Pemulihan Ekonomi Tahun 2021,2021
Pengembangan Sistem Keamanan Berbasis Blockchain pada Smart Building,Fadhil Hidayat,Selesai,Riset Peningkatan Kapasitas Dosen Muda ITB 2021,2021
Smart Predictive Maintenance Untuk Rel Kereta,Suhono Harso Supangkat,Pelaporan,PPMI STEI 2021,2021
Penyelenggaraan Kerjasama Pengembangan Masterplan Integrasi Integrated Smart System Platform (I-SSP) Dalam Mewujudkan Smart City di Kota Semarang,Fadhil Hidayat,Selesai,Kerjasama Penelitian,2020
"PENDANAAN RISET INOVATIF PRODUKTIF (RISPRO) INVITASI TAHUN KEDUA BERJUDUL PENGEMBANGAN PLATFORM SMART SAFE AND SECURE UNTUK MENINGKATKAN KEMUDAHAN, KEAMANAN, DAN KENYAMANAN. STUDI KASUS : PELAYANAN PENUMPANG KERETA API",Fadhil Hidayat,Selesai,,2020
"Kerjasama Pembuatan Platform Monitoring, Integrasi dan Implementasi Big Data Analytic di Dinas Bina Marga dan Penataan Ruang Provinsi Jawa Barat  ",Fadhil Hidayat,Selesai,Kerjasama Penelitian,2020
"Implementasi dan Kajian berbasis Artificial Intelligence, Big Data dan Internet of Things untuk mewujudkan Desa Cerdas dan Gagas",Fadhil Hidayat,Selesai,Pengabdian Masyarakat ITB Tahun 2020,2020
Sistem Pendeteksi Plat Nomor Real Time Dan Deteksi Pelanggaran Lalu Lintas Berbasis Kecerdasan Buatan,Fadhil Hidayat,Pelaporan,PPMI 2020,2020
Penguatan Kapasistas SDM TIK Untuk Peningkatan Tatakelola Smart City di Kota Denpasar,Fadhil Hidayat,Selesai,Kerjasama Penelitian,2019
Pengembangan Sistem Informasi Tata Ruang (SIMTARU) Kota Bontang Tahun Anggaran 2019,Fadhil Hidayat,Selesai,Kerjasama Penelitian,2019
Penyelenggaraan Penyusunan Dokumen Roadmap Labuha Smart City,Fadhil Hidayat,Selesai,Kerjasama Penelitian,2019
"PENGEMBANGAN PLATFORM SMART SAFE AND SECURE UNTUK MENINGKATKAN KEMUDAHAN, KEAMANAN, DAN KENYAMANAN STUDI KASUS : PELAYANAN PENUMPANG KERETA API",Fadhil Hidayat,Selesai,,2018
Pengembangan Platform Safe & Secure Community menggunakan CCTV Berbasis Deep Learning + Internet of Things untuk Mewujudkan Lalu Lintas yang Aman dan Nyaman,Fadhil Hidayat,Selesai,,2018
Impelmentasi Lokalisasi dan Pemetaan Serentak Berbasis Partikel Filter Terdistribusi pada Mobile Robot Pioneer,Fadhil Hidayat,Selesai,,2016
Utilizing ICT For Better City,Fadhil Hidayat,Selesai,Pengabdian Masyarakat Dana Sponsor,2015
Cooperative Relationship With Aim of Developing and Fostering Academic links Between their Two Institutions,Fadhil Hidayat,Selesai,Pengelolaan Kegiatan Kerjasama Pendidikan (Non Degree),2014
Cooperative Relationship With Aim of Developing and Fostering Academic links Between their Two Institutions,Fadhil Hidayat,Selesai,Pengabdian Masyarakat Dana Sponsor,2014
